,bmad_name,device_name,ele_key,s_position,x_position,y_position,z_position,theta_position,phi_position,psi_position
68,XC04,XCOR:IN20:381,Hkicker,5.69897170500005,7.18013411858063,0.0,2022.5798043225,-0.610865238198015,0.0,0.0
69,L0BMID,,Marker,6.85081960500005,6.51946130488019,0.0,2023.52334288449,-0.610865238198015,0.0,0.0
70,YC05,YCOR:IN20:412,Vkicker,8.00238260500005,5.85895190310647,0.0,2024.46664807007,-0.610865238198015,0.0,0.0
71,XC05,XCOR:IN20:411,Hkicker,8.00238260500005,5.85895190310647,0.0,2024.46664807007,-0.610865238198015,0.0,0.0
72,OUTCPB,,Marker,8.33752260500005,5.66672349622778,0.0,2024.74117868619,-0.610865238198015,0.0,0.0
73,ENDL0,,Marker,8.39844160500005,5.63178179330171,0.0,2024.79108060958,-0.610865238198015,0.0,0.0
74,BEGDL1_1,,Marker,8.39844160500005,5.63178179330171,0.0,2024.79108060958,-0.610865238198015,0.0,0.0
75,EMAT,,Marker,8.39844160500005,5.63178179330171,0.0,2024.79108060958,-0.610865238198015,0.0,0.0
76,DE00,,Drift,8.42343560500005,5.61744582385156,0.0,2024.81155449577,-0.610865238198015,0.0,0.0
77,DE00A,,Drift,8.44004860500005,5.60791699851446,0.0,2024.82516306868,-0.610865238198015,0.0,0.0
78,QE01,QUAD:IN20:425,Quadrupole,8.54804860500005,5.54597074338854,0.0,2024.91363148947,-0.610865238198015,0.0,0.0
79,BPM6,BPMS:IN20:425,Monitor,8.49404860500005,5.5769438709515,0.0,2024.86939727908,-0.610865238198015,0.0,0.0
80,DE01A,,Drift,8.62442160500005,5.50216499021511,0.0,2024.97619258855,-0.610865238198015,0.0,0.0
81,IM02,TORO:IN20:431,Marker,8.62442160500005,5.50216499021511,0.0,2024.97619258855,-0.610865238198015,0.0,0.0
82,DE01B,,Drift,8.74678060500005,5.43198275103963,0.0,2025.07642321353,-0.610865238198015,0.0,0.0
83,VV02,,Marker,8.74678060500005,5.43198275103963,0.0,2025.07642321353,-0.610865238198015,0.0,0.0
84,DE01C,,Drift,8.84156160500005,5.37761860282584,0.0,2025.15406326344,-0.610865238198015,0.0,0.0
85,QE02,QUAD:IN20:441,Quadrupole,8.94956160500005,5.31567234769993,0.0,2025.24253168423,-0.610865238198015,0.0,0.0
86,DH00,,Drift,9.07689205500005,5.24263860194995,0.0,2025.34683468264,-0.610865238198015,0.0,0.0
87,LHBEG,,Marker,9.07689205500005,5.24263860194995,0.0,2025.34683468264,-0.610865238198015,0.0,0.0
88,BXH1,BEND:IN20:451,Sbend,9.20165245292955,5.17800617037321,0.0,2025.45344292568,-0.479155846584015,0.0,0.0
89,BXH2,BEND:IN20:461,Sbend,9.46824124793355,5.04798655725095,0.0,2025.68590747848,-0.610865238198016,0.0,0.0
90,DH02A,,Drift,9.52821144793355,5.01358906364769,0.0,2025.73503219041,-0.610865238198015,0.0,0.0
91,OTRH1,OTRS:IN20:465,Monitor,9.52821144793355,5.01358906364769,0.0,2025.73503219041,-0.610865238198015,0.0,0.0
92,DH03A,,Drift,9.60425119793355,4.96997445482166,0.0,2025.79732030707,-0.610865238198015,0.0,0.0
93,LH_UND,USEG:IN20:466,Wiggler,10.1442511979335,4.6602431791921,0.0,2026.23966241098,-0.610865238198015,0.0,0.0
94,HTRUND,HTR:IN20:467,Instrument,9.87425119793355,4.81510881700688,0.0,2026.01849135903,-0.610865238198015,0.0,0.0
95,DH03B,,Drift,10.2114009979335,4.62172763620641,0.0,2026.29466830693,-0.610865238198015,0.0,0.0
96,OTRH2,OTRS:IN20:471,Monitor,10.2114009979335,4.62172763620641,0.0,2026.29466830693,-0.610865238198015,0.0,0.0
97,DH02B,,Drift,10.2992311979335,4.57135030308642,0.0,2026.36661459481,-0.610865238198015,0.0,0.0
98,BXH3,BEND:IN20:475,Sbend,10.423991595863,4.49327691729901,0.0,2026.46381138039,-0.742574629812015,0.0,0.0
99,BXH4,BEND:IN20:481,Sbend,10.690580390867,4.31930101915522,0.0,2026.66549741106,-0.610865238198015,0.0,0.0
100,LHEND,,Marker,10.690580390867,4.31930101915522,0.0,2026.66549741106,-0.610865238198015,0.0,0.0
101,DH06,,Drift,10.813481090867,4.24880807362417,0.0,2026.76617177071,-0.610865238198015,0.0,0.0
102,TCAV0,TCAV:IN20:490,Lcavity,11.481504690867,3.86564547773778,0.0,2027.31338466829,-0.610865238198015,0.0,0.0
103,YC06,YCOR:IN20:492,Vkicker,11.147492890867,4.05722677568098,0.0,2027.0397782195,-0.610865238198015,0.0,0.0
104,XC06,XCOR:IN20:491,Hkicker,11.147492890867,4.05722677568098,0.0,2027.0397782195,-0.610865238198015,0.0,0.0
105,DE02,,Drift,11.517244190867,3.84514614269081,0.0,2027.34266075277,-0.610865238198015,0.0,0.0
106,QE03,QUAD:IN20:511,Quadrupole,11.625244190867,3.7831998875649,0.0,2027.43112917356,-0.610865238198015,0.0,0.0
107,BPM8,BPMS:IN20:511,Monitor,11.571244190867,3.81417301512785,0.0,2027.38689496316,-0.610865238198015,0.0,0.0
108,DE03A,,Drift,11.739564190867,3.71762862936125,0.0,2027.52477463526,-0.610865238198015,0.0,0.0
